Parent,Child,value,link_string,feat_mean,feat_std,feat_min,feat_max,feat_median
hemoglobin,No anemia,337.0,"hemoglobin', 'No anemia",13.599522986224164,0.26198747221884483,13.132460169191356,14.040714558597706,13.604035063745314
hemoglobin,gender,1216.0,"hemoglobin', 'gender",13.693527304961286,1.239616314104333,11.870550736928804,15.600242392002954,14.080769221613064
gender,No anemia,1827.0,"gender', 'No anemia",61.7,38.3,,,
hemoglobin,hematocrit,611.0,"hemoglobin', 'hematocrit",16.4339962534955,0.4618413955254724,15.601168643992963,17.197700056902278,16.469059830734466
hematocrit,gender,611.0,"hematocrit', 'gender",49.301988760486516,1.3855241865764172,46.8035059319789,51.593100170706826,49.4071794922034
hemoglobin,,,,,,,,
,No anemia,,,,,,,
